,V_W,V_C,V_R,V_L,W_C,W_R,W_L,C_R,C_L,R_L,V_W_C,V_W_R,V_W_L,V_C_R,V_C_L,V_R_L,W_C_R,W_C_L,W_R_L,C_R_L,V_W_C_R,V_W_C_L,V_W_R_L,V_C_R_L,W_C_R_L,V_W_C_R_L
_int_ter,0.005176555108882483,0.0958812407121561,0.12481903156274511,-0.09530052737506281,0.06074811272805835,0.12033887572943873,0.05838674634670321,0.09365169627783407,0.04523140217185517,0.027292686574644086,0.022920984727642008,0.11482328366116541,0.006861021894248807,0.08660255291564439,-0.05371382816019662,0.12375271317734074,0.15988185012958112,0.09421379216884174,0.07312076432237058,0.04415902025463643,0.11676358505649746,0.003784648006785045,0.1393411945565184,0.08157780515408397,0.03590747391545723,0.06945822569305905
_mix_ter,0.05275518352131696,0.12048757752393532,0.07473041463093007,-0.028603160127519803,0.12788987622585316,0.13128070669061434,0.0420256435519359,0.2218668442923658,0.04943792986158657,0.05849171555374078,0.11813614003851167,0.09667433627233049,0.035022322911215514,0.17124619218871528,0.05361326920613865,0.04443342450075423,0.18682558264526297,0.0887931506011422,0.09488140412965304,0.10764703638468488,0.15839909562280408,0.08851500963054898,0.07780912952696459,0.10366654500360747,0.13368058160202595,0.12464470897334037
_int_dec,0.13663981259763253,0.05480212995140102,-0.05686924945237369,0.025688366682394676,0.2177644733354214,0.1728725312631958,0.11455124892643807,0.194192915618693,-0.03231305060768996,0.030802483125390065,0.08278359088069079,0.14522349073261206,0.043715162843609975,0.013538051191870926,0.03092406087348084,0.03640105682375563,0.24728983987786674,0.08640588406184777,0.12079254370061102,0.06643211238764728,0.07625494524215298,0.15199029952224205,0.0073489840383142175,-0.013857967130191823,0.061854160401242184,0.06715393370642113
_mix_dec,0.14478866090997974,0.12416357345597476,-0.04557022884753546,-0.0984099592699362,0.31908384322343325,0.19416825266622523,0.18671247218608028,0.15430614591026356,0.08261801651044122,-0.07328670086793493,0.2350796613263044,0.11930010982852406,0.12431660507349822,0.07585295254590384,0.05178073970055372,-0.08821867569926134,0.2805800592307514,0.26826589153791475,0.1546096350403226,0.06145732106665811,0.19947908030706424,0.21808639508228275,0.09809135978590357,0.026849800863111194,0.2382966286975877,0.18166065141858573
_int_bw,0.05927961041912266,0.11060989014368389,-0.015145934622871598,-0.08284976806608754,0.21384220787297306,0.09627913827633534,0.1052190998354372,0.1787191439062065,0.020876962752309478,-0.05851980812104239,0.17275722543143057,0.06713420116027491,0.06264355147986751,0.1122455565355863,-0.023506879811487497,-0.0816139956276283,0.20303401100990062,0.11797289580113718,0.0935655296606129,0.008895325146295319,0.17308521838016525,0.09108577676630143,0.06689720588381758,-0.02064254340688625,0.11712292044921774,0.09532382858576698
_mix_bw,0.018310603600276164,0.07840764845217993,0.0009866503368296078,-0.10490299646107933,0.163511141847629,0.12215099204561544,0.02440773339131594,0.19807472325164568,0.03764947166473275,0.009701829735679861,0.10518900661606596,0.05204436349475605,-0.01654379709614438,0.10731473612550035,-0.001367302839310086,-0.0323876824070589,0.18554163447397462,0.07682386912703187,0.05646298097906483,0.06904712410897411,0.12294741489259321,0.04667552123982845,0.018919462236139294,0.03565321451797365,0.09870666133422577,0.06891333689523897
_int_te,-0.012935847258838139,-0.03233308380588638,0.011204247305217852,-0.11235107682577113,0.040960457158857023,0.08064021479522863,0.002369131437615385,0.10471326631873558,0.1351866131698448,0.07951648515390318,-0.06350125107874767,0.04936127137980041,0.08701723569484629,0.04895114049480357,-0.14859402508785638,-0.03155781826570903,0.039972951110464436,0.016654741905254303,0.1431390395878458,0.14021507651929543,-0.005731465968831134,0.003395267010132326,0.14432015612138424,-0.03462799549812582,0.054996402662099424,0.17707923460646025
_mix_te,0.10710990231797658,0.10739385215102788,0.09036423501705934,-0.0716951271103958,0.1788895446137546,0.14462162578273374,0.013695542066929004,0.1958068899503705,-0.0443810340983938,0.0742114417461455,0.18055019826872304,0.10930847494788627,0.03721226619910957,0.12677922805942818,0.03191614814432479,0.029749087087632856,0.18451317937046355,0.09359390574100594,0.06649011749148694,0.10443552337926895,0.17927834416841257,0.1244231519558453,0.05544275199450673,0.06082838000434578,0.1219812824811587,0.12901153415147193
