,V_W,V_C,V_R,V_L,W_C,W_R,W_L,C_R,C_L,R_L,V_W_C,V_W_R,V_W_L,V_C_R,V_C_L,V_R_L,W_C_R,W_C_L,W_R_L,C_R_L,V_W_C_R,V_W_C_L,V_W_R_L,V_C_R_L,W_C_R_L,V_W_C_R_L
_int_ter,0.160762452812045,0.14834502021211846,0.15507901717959371,0.13987319609703355,0.1444212574435127,0.149618608493581,0.13407477541057902,0.13905352650979763,0.12938192320896388,0.13265175596988635,0.15494704435871104,0.15675725649673508,0.1427447144127661,0.14983354681383618,0.13368809511568838,0.14557417464839914,0.1439479354623694,0.1302496744171116,0.13377496092798502,0.12869749897281105,0.14922270679135435,0.13527369141516252,0.14346656701674945,0.13832795727710884,0.13094527914354476,0.13652955195719418
_mix_ter,0.16217782427232744,0.14979858184752276,0.15694045184441835,0.14435988808846806,0.14862780061844694,0.15315165554598228,0.14150153831436701,0.14214940280966218,0.13343624677580676,0.13699537796462055,0.15181638585807644,0.156273103630184,0.14772688225860386,0.1485913303360041,0.1412068567215943,0.14536429501086717,0.1463999583453936,0.1394794278270164,0.14241569320147082,0.13662178685451054,0.1500846214502141,0.14425036649359385,0.14732426288375017,0.1424430681826998,0.1405114517119239,0.14452139419608742
_int_dec,0.20131702078770172,0.1571559054814303,0.17089746161427133,0.14385737005946378,0.17309965216244094,0.17934876960930432,0.13974238703364075,0.14625163130881397,0.12437475225213729,0.1342911344300129,0.16909914347847926,0.17350095762051077,0.1512810872651433,0.15142890353745578,0.13622967797436963,0.14437272809191595,0.152049050884057,0.13572326159585946,0.14249987647463377,0.13103427487253455,0.16204090490649692,0.14331881983514463,0.14958380689609443,0.139749203623116,0.1365021312744562,0.14406480638028724
_mix_dec,0.1960486073575057,0.1666160678186528,0.17605930772252582,0.14363201672689094,0.17742273721631432,0.1811082352429788,0.15002311483535888,0.1574351568899535,0.1327482928168394,0.1348225190638168,0.17552596885757335,0.18102761401639414,0.15811845799090135,0.16382882476350008,0.14310926400591586,0.14862833572630052,0.16763664885962676,0.14753714507901605,0.15015787877383144,0.13844868329862756,0.17008318737524758,0.15351897011595603,0.15741148826429133,0.14680678397971034,0.14855487044518964,0.15398905940126348
_int_bw,0.15168028080180943,0.14368661950377587,0.15540904867445715,0.13345827954112244,0.14370217209982708,0.150802262930085,0.1379963461954594,0.1427677471057596,0.13297997235699796,0.13238647166621312,0.14542719938925158,0.15153418906090993,0.139662943935277,0.1438395973902446,0.1346369666152342,0.1337152807125058,0.1443514435704306,0.13592862098634192,0.13873309874263068,0.13378152755726153,0.14530728704192045,0.13768869374454548,0.1397493871996841,0.13485604886804237,0.13670642530773222,0.13770845801074647
_mix_bw,0.1533660071693947,0.1486862087289265,0.1531125358185032,0.1432471140870566,0.1445836139113864,0.1481734408679379,0.13885041297374065,0.14413600635868468,0.13593795063723607,0.13884638035846733,0.1484060713622876,0.1512597042302446,0.1446347347012005,0.14830986321022072,0.1421403315213505,0.14473387777650262,0.14524489801132742,0.13933840867175776,0.14153433396662962,0.13935333566669042,0.14812009753868452,0.1433875250275645,0.1453463589990794,0.1434536947632455,0.14117396683077948,0.14417679326958846
_int_te,0.22298288426274973,0.23233143389319919,0.21333799666009176,0.21997362657380004,0.22945505190131477,0.21394393113589663,0.22441758149860633,0.21662193250056735,0.20110600741110565,0.21266769766087704,0.21728231704911583,0.2188447877401097,0.22046377255379565,0.21701909071044684,0.22696369632706367,0.2192115584243862,0.20630061297719915,0.20817206427859167,0.20807940411539175,0.22062610308654648,0.2117155411977807,0.20267998593700592,0.21857379003472735,0.21959652995989765,0.1950309901629094,0.209812784186889
_mix_te,0.21196839777810111,0.18660645589588926,0.20512955567639324,0.14943736659980908,0.209902273129706,0.21650566496760085,0.15980941604823887,0.19524901730491337,0.15013452601202718,0.15078028177888186,0.19060378462226055,0.20116392592760152,0.16095797954157387,0.18471291010114949,0.15283241290543664,0.16343649029556886,0.19458573823879266,0.15971162477583797,0.16333092183169576,0.15820106077322438,0.1863694918381542,0.160060400257054,0.16675747907970287,0.15940853935619972,0.1622782760651286,0.1634679014764827
