,V_W,V_C,V_R,V_L,W_C,W_R,W_L,C_R,C_L,R_L,V_W_C,V_W_R,V_W_L,V_C_R,V_C_L,V_R_L,W_C_R,W_C_L,W_R_L,C_R_L,V_W_C_R,V_W_C_L,V_W_R_L,V_C_R_L,W_C_R_L,V_W_C_R_L
ter,0.624,0.628,0.087,0.838,0.914,0.398,0.097,0.98,0.386,0.491,0.261,0.612,0.546,0.714,0.941,0.125,0.281,0.044,0.115,0.211,0.635,0.468,0.058,0.29,0.366,0.144
dec,0.904,0.841,0.879,0.353,0.843,0.833,0.781,0.193,0.634,0.304,0.592,0.359,0.966,0.689,0.59,0.159,0.208,0.968,0.505,0.409,0.92,0.378,0.932,0.829,0.887,0.744
bw,0.301,0.184,0.122,0.213,0.006,0.722,0.008,0.369,0.202,0.626,0.039,0.683,0.041,0.279,0.274,0.336,0.092,0.003,0.064,0.374,0.073,0.034,0.052,0.31,0.024,0.047
