,V_W,V_C,V_R,V_L,W_C,W_R,W_L,C_R,C_L,R_L,V_W_C,V_W_R,V_W_L,V_C_R,V_C_L,V_R_L,W_C_R,W_C_L,W_R_L,C_R_L,V_W_C_R,V_W_C_L,V_W_R_L,V_C_R_L,W_C_R_L,V_W_C_R_L
ter,0.999,0.999,0.965,0.999,0.999,0.988,0.5,0.999,0.951,0.999,0.916,0.999,0.998,0.999,0.999,0.951,0.895,0.171,0.614,0.916,0.999,0.969,0.612,0.951,0.917,0.796
dec,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.821,1.0,0.99,1.0,0.996,1.0,1.0,1.0,0.959,0.821,1.0,0.999,0.99,1.0,0.987,1.0,1.0,1.0,1.0
bw,0.682,0.373,0.86,0.439,0.563,0.907,0.496,0.779,0.876,0.907,0.283,0.907,0.262,0.5,0.574,0.574,0.574,0.379,0.5,0.779,0.315,0.232,0.298,0.569,0.35,0.207
