,V_W,V_C,V_R,V_L,W_C,W_R,W_L,C_R,C_L,R_L,V_W_C,V_W_R,V_W_L,V_C_R,V_C_L,V_R_L,W_C_R,W_C_L,W_R_L,C_R_L,V_W_C_R,V_W_C_L,V_W_R_L,V_C_R_L,W_C_R_L,V_W_C_R_L
_int_ter,0.053506047850860196,0.03504463861642598,0.03808926369463394,0.03534180707377288,0.05812589847437638,0.04954685075995657,0.05680759987548865,0.04072764801409114,0.05488428994441697,0.04197085162229911,0.048149252754328395,0.04340568032799144,0.04262886723448187,0.03608464679254751,0.04219126212363686,0.03566947913307926,0.04986296680706552,0.05621030880225928,0.04872291534869049,0.04998209966641127,0.04275352827797404,0.048485331574651694,0.04035155726032682,0.03752729584840611,0.05069781489399514,0.04409048880655469
_mix_ter,0.04571520577945625,0.022260671334933365,0.03577827865036296,0.029276334982318977,0.04112461587244645,0.04027955332130589,0.040026089955127506,0.0247365676440483,0.04009221105584019,0.033385978548582204,0.029258159067717296,0.035869053688365814,0.030867168630036267,0.021111615178908825,0.023728595647679568,0.028322314003706262,0.028694930818679493,0.033503273516489365,0.03138995765117307,0.02915202862050076,0.025119743199826995,0.024806814279591905,0.02823537076395512,0.022376679027695426,0.027043011138623698,0.022960282842609352
_int_dec,0.10718688285350071,0.06357116087625095,0.0699817536438369,0.06741880043065875,0.09324336466514851,0.0910750840636592,0.08562150883146911,0.06460499809604742,0.07929404873712667,0.06908696827597306,0.08202514703228825,0.085370850523817,0.0762207714073644,0.06517177644777261,0.06605424499297526,0.06741425281366364,0.07665038129322278,0.08183519458217671,0.07737615506147835,0.07197806799485444,0.07493689409006553,0.07326203137140307,0.07309293114584302,0.0671676577909049,0.07908915421509402,0.07149588325186244
_mix_dec,0.09266114854415008,0.04766535180803488,0.06547880808908874,0.05086345313685855,0.0761772006917288,0.07668524801517047,0.06863608455969837,0.04549087340758347,0.061086976861107915,0.05354576011571844,0.06157753070773084,0.07033806637574233,0.056100924595479724,0.04310777504906879,0.03660629867161305,0.045444537574466363,0.05497741598431585,0.05227703267707242,0.05110022090458073,0.04334276521715297,0.051991543253202786,0.04266702026079548,0.048808460626634353,0.03454456328804767,0.04192904220021603,0.03887388050456345
_int_bw,0.034072609287281015,0.024638087491721434,0.023903560909826285,0.03579553119052283,0.02891216235513875,0.032921958855081444,0.034192037513435386,0.02358062469198762,0.03444044555064767,0.0351576997607291,0.02928021998590087,0.03360528636639593,0.034028151997560874,0.0245564295825975,0.03318609662609847,0.03552585894487535,0.02812993157953898,0.033070293896732904,0.03326194713354009,0.032827531611277,0.02914836816683889,0.03250563381213601,0.033689571944399935,0.0329324403148759,0.0319875039957946,0.032322272903669375
_mix_bw,0.024148685281255078,0.010947151719697535,0.020862224303236556,0.018967500058379733,0.021392213355434727,0.021861789318596468,0.025846702315538272,0.015530868136543138,0.02836502773693684,0.02381595608252251,0.015212621364527312,0.02009306380597109,0.01871177565250964,0.012294053514789724,0.016215389946404098,0.017929921915240423,0.016625186190735344,0.022521197740736246,0.02083108227267261,0.02112974655571868,0.014341474340467458,0.01604421670942376,0.017562014169459076,0.01525091022647141,0.018869436820770365,0.015237219947239762
_int_te,0.14635158548198265,0.1557900885710742,0.13067967746257614,0.14866884361277974,0.16468622131036037,0.14882061082606474,0.17186066738104766,0.14910543317152639,0.15035989541815717,0.14485764715342364,0.1373823207405403,0.14143285595814775,0.1578167980798684,0.13757475994506724,0.15836627034154183,0.1461541687154541,0.13244450849162745,0.15294402599142948,0.14940089101482104,0.15593269743981214,0.13611406617413932,0.13257776486282,0.14423958527589106,0.14658096369994508,0.12982610454732613,0.14260309291566212
_mix_te,0.12080495104798296,0.09106556636800156,0.12130266569500961,0.08109328099582218,0.1242707927252078,0.128215088416282,0.098560726131377,0.11039294895929454,0.09955485214906436,0.08967409673395405,0.0915572099026257,0.10755867287052495,0.07583021674440134,0.0887679922744268,0.06907551209653819,0.08657387372652323,0.09852147109215546,0.08133860623115785,0.08040445466402699,0.08270742269817308,0.08564090159050308,0.06697448132857699,0.0771963489218056,0.07051247412004572,0.07146128596236151,0.06706341920256462
