,V_W,V_C,V_R,V_L,W_C,W_R,W_L,C_R,C_L,R_L,V_W_C,V_W_R,V_W_L,V_C_R,V_C_L,V_R_L,W_C_R,W_C_L,W_R_L,C_R_L,V_W_C_R,V_W_C_L,V_W_R_L,V_C_R_L,W_C_R_L,V_W_C_R_L
_int_ter,0.4234666686293003,0.4797001158703594,0.46733828451418935,0.4604863191820278,0.4944034253223443,0.493052821636458,0.5307330654159325,0.5149687551392824,0.5439203213781949,0.519518208152606,0.4448163295005334,0.4640811918560764,0.47707422648643116,0.4733642359668193,0.49050354266017815,0.49582024348160614,0.52632427881101,0.561591077301902,0.5333295134363715,0.5442053055063479,0.4877627384258597,0.5027871538833165,0.5116804580878481,0.5123226697130158,0.5318509025152578,0.519098302919061
_mix_ter,0.4328782033615202,0.4703240013344153,0.4486904870566188,0.4637004379463337,0.49182244377160395,0.4772040897246506,0.49133713110029725,0.5154438424375757,0.5232746091097468,0.5090767619403229,0.46932474928552637,0.4558766978620301,0.46625591125032523,0.4803503520722648,0.48908327430166204,0.474832142304897,0.4997484040997226,0.5076894763603911,0.49702201885946556,0.5192352058496825,0.47812533947557356,0.4852500793708587,0.4750061560505945,0.49209904436984264,0.5083186061545669,0.48885819223714466
_int_dec,0.4096099453591078,0.4532800213866919,0.3736732531384336,0.48346880110392404,0.5094365561856053,0.46618199524724246,0.5556319829819566,0.549396120199452,0.52527383092583,0.5209622923372226,0.4411234203920583,0.4623452063314234,0.4706148911095503,0.4535229341198569,0.5128830032937497,0.48667850931020173,0.5708404047048463,0.552370222858868,0.5412382360633526,0.5548532154743727,0.453820889969545,0.5506642731111707,0.4567876941363372,0.4786732537690652,0.5330875968224279,0.5042630894720935
_mix_dec,0.41419515220095754,0.4421322182483382,0.3680255417494044,0.4368756335273884,0.5193117245648935,0.45672931754115786,0.537669671712958,0.4752751315588873,0.5490180281112582,0.4739499434697111,0.46858735573588384,0.4208037982663414,0.47274981776506075,0.4336024033798412,0.48670761297604764,0.4290144640638072,0.49653625053530404,0.5547672447602424,0.5042732763778968,0.5090349162509616,0.45947750390450603,0.5020757354732052,0.46101200154900834,0.46794325487996974,0.5237286191445539,0.48600646423000143
_int_bw,0.4603060263325343,0.49087628147178847,0.43367016351238646,0.4858859616408563,0.514846351450002,0.4705893391496307,0.5174019610662476,0.504471461106258,0.5154331559268159,0.49665788719448484,0.5009856032831885,0.4622967717751209,0.5007529368892777,0.4905445354133289,0.4979253602937622,0.48542787432052953,0.5092386867826103,0.5275925126641675,0.5111357569674814,0.5091068188660901,0.5012982069276849,0.5139936035424088,0.501301802933981,0.4978319534753026,0.5234160133692162,0.5147772500322076
_mix_bw,0.4448136907828555,0.4616299323643083,0.4426725882649613,0.45926531266164505,0.49315022899235395,0.4754240755842911,0.49285265975257075,0.4915954435350477,0.5067098004724466,0.48982215671232,0.4675320789787444,0.45494265637197245,0.46651014621099174,0.46584973653654266,0.47674893252492934,0.46422461344844335,0.48793120983985294,0.4990372169749811,0.4872302685945414,0.49692694257848746,0.46948092684845694,0.4779888854585282,0.4685885249755912,0.4762654894867337,0.4933808425172543,0.4774084274981389
_int_te,0.2956196646090873,0.2705810811434359,0.3246683792253009,0.23269510872623161,0.3255451806680894,0.3730432162285725,0.30460510711545863,0.3854481371876975,0.43931725638757707,0.37298922517401684,0.272146400730187,0.34170221431383796,0.3699442149925725,0.34355617307177555,0.19572095651669075,0.28851579620663764,0.35447279676482796,0.3385973764644255,0.42872493789074156,0.40665313191545227,0.3169071321948798,0.3369267199338201,0.40545093589812375,0.2859585887990982,0.38402524132445115,0.44329938879795455
_mix_te,0.38074580368467653,0.4159362597665813,0.3837655642658407,0.4145266163013989,0.42937288901350806,0.3985834298618029,0.432555609875064,0.45788139515086085,0.42287189767366185,0.4935309397613342,0.44248892068046347,0.3952526087079536,0.4383406150547897,0.42794165589258204,0.4580825625600446,0.4302249606022039,0.44194603318237585,0.4724423628659196,0.44741146730930176,0.4829702381256427,0.4460826716727308,0.47553034891569235,0.4318551725723762,0.4520785885459415,0.47148903777382756,0.46748879634262036
