,V_W,V_C,V_R,V_L,W_C,W_R,W_L,C_R,C_L,R_L,V_W_C,V_W_R,V_W_L,V_C_R,V_C_L,V_R_L,W_C_R,W_C_L,W_R_L,C_R_L,V_W_C_R,V_W_C_L,V_W_R_L,V_C_R_L,W_C_R_L,V_W_C_R_L
_int_ter,0.4234666686293003,0.4797001158703594,0.46733828451418935,0.4604863191820278,0.4944034253223443,0.493052821636458,0.5307330654159325,0.5149687551392824,0.5439203213781949,0.519518208152606,0.4448163295005334,0.4640811918560764,0.47707422648643116,0.4733642359668193,0.49050354266017815,0.49582024348160614,0.52632427881101,0.561591077301902,0.5333295134363715,0.5442053055063479,0.4877627384258597,0.5027871538833165,0.5116804580878481,0.5123226697130158,0.5318509025152578,0.519098302919061
_mix_ter,0.4277710970689044,0.5100005386090747,0.42908437183711423,0.4711093550327835,0.5320037019210226,0.46343217415919036,0.5074094774885787,0.5428767123422232,0.5843483824517308,0.5051553377581883,0.47877142209371065,0.4308834383074929,0.46102151887852943,0.4584145552203328,0.49040030315228594,0.4335293130004786,0.5001461950664602,0.5335616373997342,0.48374766017661364,0.5062166598814478,0.45947750390450603,0.5020757354732052,0.46101200154900834,0.46794325487996974,0.5237286191445539,0.45519901938582646
_int_dec,0.4096099453591078,0.4532800213866919,0.3736732531384336,0.48346880110392404,0.5094365561856053,0.46618199524724246,0.5556319829819566,0.549396120199452,0.52527383092583,0.5209622923372226,0.4411234203920583,0.4623452063314234,0.4706148911095503,0.4535229341198569,0.5128830032937497,0.48667850931020173,0.5708404047048463,0.552370222858868,0.5412382360633526,0.5548532154743727,0.453820889969545,0.5506642731111707,0.4567876941363372,0.4786732537690652,0.5330875968224279,0.5042630894720935
_mix_dec,0.41419515220095754,0.4421322182483382,0.3680255417494044,0.4368756335273884,0.5193117245648935,0.45672931754115786,0.537669671712958,0.4752751315588873,0.5490180281112582,0.4739499434697111,0.46858735573588384,0.4208037982663414,0.47274981776506075,0.4336024033798412,0.48670761297604764,0.4290144640638072,0.49653625053530404,0.5547672447602424,0.5042732763778968,0.5090349162509616,0.45947750390450603,0.5020757354732052,0.46101200154900834,0.46794325487996974,0.5237286191445539,0.48600646423000143
_int_bw,0.4634433234335746,0.5110859565092154,0.44964808796031386,0.4795725310989314,0.5293456723049182,0.47366903927015275,0.5163141985968014,0.5110591786148831,0.5067394391244366,0.47335575321153905,0.5164710438768447,0.4603678210884983,0.5131773612909962,0.5045558790642336,0.5029375624250684,0.47788937075311644,0.5191525177631191,0.5210433363595823,0.5153058963161895,0.5126118090125084,0.5231572891951956,0.5198289888511524,0.5095578461705869,0.5060079879533838,0.5221797413913798,0.5203892548253639
_mix_bw,0.4512797369229678,0.48723501025446214,0.4509068942289128,0.47094035846948373,0.5128060235421528,0.47944023603068653,0.49944219224071756,0.5145614208162563,0.5321002860976813,0.4980048773424986,0.48655608663351374,0.4585204949623236,0.47927058972850556,0.4861625263538243,0.5061601673675564,0.4766284145072571,0.5096374580971186,0.5296309648610968,0.5025988751253427,0.5280467609233171,0.48548615417329954,0.5094668752178103,0.48192791107080807,0.5043289280562172,0.5292330432396565,0.5043632763687599
_int_te,0.2956196646090873,0.2705810811434359,0.3246683792253009,0.23269510872623161,0.3255451806680894,0.3730432162285725,0.30460510711545863,0.3854481371876975,0.43931725638757707,0.37298922517401684,0.272146400730187,0.34170221431383796,0.3699442149925725,0.34355617307177555,0.19572095651669075,0.28851579620663764,0.35447279676482796,0.3385973764644255,0.42872493789074156,0.40665313191545227,0.3169071321948798,0.3369267199338201,0.40545093589812375,0.2859585887990982,0.38402524132445115,0.44329938879795455
_mix_te,0.2848052320049279,0.3333875606364865,0.3660733638157413,0.384775082825785,0.24860264650332264,0.2994291506992058,0.29649252491367345,0.33345952790331446,0.3757160833548266,0.4479758123029141,0.3247916032632566,0.3271894282967896,0.33815232758659786,0.35275464238467097,0.39745947347934507,0.41184119932187724,0.3298269185889542,0.35274868121955977,0.36302387802108516,0.40286019498002107,0.320648441289676,0.34255753324742866,0.3464598245618925,0.3738680325533274,0.3397318443214132,0.3445136111213704
