,V_W,V_C,V_R,V_L,W_C,W_R,W_L,C_R,C_L,R_L,V_W_C,V_W_R,V_W_L,V_C_R,V_C_L,V_R_L,W_C_R,W_C_L,W_R_L,C_R_L,V_W_C_R,V_W_C_L,V_W_R_L,V_C_R_L,W_C_R_L,V_W_C_R_L
_int_ter,0.053506047850860196,0.03504463861642598,0.03808926369463394,0.03534180707377288,0.05812589847437638,0.04954685075995657,0.05680759987548865,0.04072764801409114,0.05488428994441697,0.04197085162229911,0.048149252754328395,0.04340568032799144,0.04262886723448187,0.03608464679254751,0.04219126212363686,0.03566947913307926,0.04986296680706552,0.05621030880225928,0.04872291534869049,0.04998209966641127,0.04275352827797404,0.048485331574651694,0.04035155726032682,0.03752729584840611,0.05069781489399514,0.04409048880655469
_mix_ter,0.06556750998350043,0.03132696577303789,0.04672589946008889,0.03902688684768601,0.05682298860252031,0.05510952424666024,0.052259607780059524,0.03469631927071076,0.05026543347099655,0.04349940330908692,0.05517439526080206,0.06203397978171147,0.051118302564561,0.039079583011486965,0.0346832524031365,0.042777904033291826,0.04994811548345838,0.04852151945035319,0.047259280230677575,0.04148536206953594,0.051991543253202786,0.04266702026079548,0.048808460626634353,0.03454456328804767,0.04192904220021603,0.04030373089229021
_int_dec,0.10718688285350071,0.06357116087625095,0.0699817536438369,0.06741880043065875,0.09324336466514851,0.0910750840636592,0.08562150883146911,0.06460499809604742,0.07929404873712667,0.06908696827597306,0.08202514703228825,0.085370850523817,0.0762207714073644,0.06517177644777261,0.06605424499297526,0.06741425281366364,0.07665038129322278,0.08183519458217671,0.07737615506147835,0.07197806799485444,0.07493689409006553,0.07326203137140307,0.07309293114584302,0.0671676577909049,0.07908915421509402,0.07149588325186244
_mix_dec,0.09266114854415008,0.04766535180803488,0.06547880808908874,0.05086345313685855,0.0761772006917288,0.07668524801517047,0.06863608455969837,0.04549087340758347,0.061086976861107915,0.05354576011571844,0.06157753070773084,0.07033806637574233,0.056100924595479724,0.04310777504906879,0.03660629867161305,0.045444537574466363,0.05497741598431585,0.05227703267707242,0.05110022090458073,0.04334276521715297,0.051991543253202786,0.04266702026079548,0.048808460626634353,0.03454456328804767,0.04192904220021603,0.03887388050456345
_int_bw,0.03411192056027161,0.02398977341380085,0.015919288804480344,0.014474858138403476,0.03327282093648817,0.034858608585918056,0.02355091464649683,0.02414569362314402,0.023697582508320103,0.013571207387971821,0.030541764812173595,0.033922086810425356,0.022273058494199523,0.02404599705763146,0.022424867582428877,0.014026870195220382,0.03127591497496125,0.026132578067383023,0.022035775979126326,0.022124166021732748,0.030814104467865613,0.024183277059955353,0.021845572832968847,0.02183247179757924,0.02398386703791437,0.023942833470679565
_mix_bw,0.03399095764912303,0.018304228354473717,0.0215843665583641,0.016537593382438837,0.0338018873732057,0.03003295589251394,0.029737655176331514,0.020269786015770782,0.030357446945718174,0.020378375585450338,0.0287522928044424,0.03189095592543373,0.026700981659118713,0.018064485384559698,0.020505006924037335,0.02051543325646084,0.02736836057250519,0.031005304908833086,0.026464597299526084,0.025612131447702996,0.029963616230857602,0.026868776327244135,0.02913556496383396,0.021445884470828687,0.02821586567383682,0.028222717259794725
_int_te,0.14635158548198265,0.1557900885710742,0.13067967746257614,0.14866884361277974,0.16468622131036037,0.14882061082606474,0.17186066738104766,0.14910543317152639,0.15035989541815717,0.14485764715342364,0.1373823207405403,0.14143285595814775,0.1578167980798684,0.13757475994506724,0.15836627034154183,0.1461541687154541,0.13244450849162745,0.15294402599142948,0.14940089101482104,0.15593269743981214,0.13611406617413932,0.13257776486282,0.14423958527589106,0.14658096369994508,0.12982610454732613,0.14260309291566212
_mix_te,0.2202851718117388,0.15777515678149248,0.1824814437204101,0.11915220664092047,0.22870584545729142,0.21722549631358534,0.1692065411806241,0.16346405156362753,0.12446636490792076,0.11799999198243247,0.17935427192545425,0.1825661057931837,0.13947130002854702,0.14844153280628428,0.10770029822601294,0.12310133069064409,0.16930622785458144,0.13633685666900155,0.13313276135687285,0.11265331840154454,0.15194432050550613,0.11751848355144442,0.13024964794363053,0.10903938386795323,0.11922973105458445,0.11995517991962244
