,V_W,V_C,V_R,V_L,W_C,W_R,W_L,C_R,C_L,R_L,V_W_C,V_W_R,V_W_L,V_C_R,V_C_L,V_R_L,W_C_R,W_C_L,W_R_L,C_R_L,V_W_C_R,V_W_C_L,V_W_R_L,V_C_R_L,W_C_R_L,V_W_C_R_L
_int_ter,0.160762452812045,0.14834502021211846,0.15507901717959371,0.13987319609703355,0.1444212574435127,0.149618608493581,0.13407477541057902,0.13905352650979763,0.12938192320896388,0.13265175596988635,0.15494704435871104,0.15675725649673508,0.1427447144127661,0.14983354681383618,0.13368809511568838,0.14557417464839914,0.1439479354623694,0.1302496744171116,0.13377496092798502,0.12869749897281105,0.14922270679135435,0.13527369141516252,0.14346656701674945,0.13832795727710884,0.13094527914354476,0.13652955195719418
_mix_ter,0.17450291315536154,0.15499916516337267,0.16218898993647457,0.14275692991265138,0.16009111938521797,0.1628944989990916,0.14436626803316874,0.14704535663213095,0.13274978279243652,0.13478774736884258,0.1719832583314433,0.17528955834605908,0.15636614314677094,0.16096772857321934,0.14362025503358455,0.147219170187169,0.1646268220850558,0.14786612596366966,0.14891789243454195,0.13889167278760356,0.17008318737524758,0.15351897011595603,0.15741148826429133,0.14680678397971034,0.14855487044518964,0.15571710981797973
_int_dec,0.20131702078770172,0.1571559054814303,0.17089746161427133,0.14385737005946378,0.17309965216244094,0.17934876960930432,0.13974238703364075,0.14625163130881397,0.12437475225213729,0.1342911344300129,0.16909914347847926,0.17350095762051077,0.1512810872651433,0.15142890353745578,0.13622967797436963,0.14437272809191595,0.152049050884057,0.13572326159585946,0.14249987647463377,0.13103427487253455,0.16204090490649692,0.14331881983514463,0.14958380689609443,0.139749203623116,0.1365021312744562,0.14406480638028724
_mix_dec,0.1960486073575057,0.1666160678186528,0.17605930772252582,0.14363201672689094,0.17742273721631432,0.1811082352429788,0.15002311483535888,0.1574351568899535,0.1327482928168394,0.1348225190638168,0.17552596885757335,0.18102761401639414,0.15811845799090135,0.16382882476350008,0.14310926400591586,0.14862833572630052,0.16763664885962676,0.14753714507901605,0.15015787877383144,0.13844868329862756,0.17008318737524758,0.15351897011595603,0.15741148826429133,0.14680678397971034,0.14855487044518964,0.15398905940126348
_int_bw,0.15599686307245902,0.1462700296778802,0.15329657662181875,0.14593530214278516,0.14775004688712984,0.15663825579942306,0.1423791147058048,0.14655054825574781,0.14166765715538943,0.14644583467503666,0.1485656152968438,0.15621201334318566,0.14294326690972603,0.14666607512546279,0.14223290006379466,0.14626366727742784,0.14874027157645117,0.14150152872752622,0.14320016103586417,0.14189122755702846,0.14861886870416938,0.14246338006840722,0.1430781011887991,0.14240307255975385,0.1425005561204972,0.14264975687842052
_mix_bw,0.15897635250552264,0.15025833687305443,0.15472660944201938,0.14618494942876964,0.15103069644966804,0.15432759786657696,0.14626442764932332,0.146531539575661,0.13998946593124356,0.14262701579574594,0.15511120390622168,0.15838667033674025,0.14970145666685836,0.15116648010980757,0.1435005823576097,0.1464199531654684,0.15133868180588175,0.14399147096088089,0.1460432242183531,0.1406202163913396,0.15725643798236227,0.14823791576386655,0.15069889627881103,0.14452848369503993,0.1450365153157934,0.15033437825820734
_int_te,0.22298288426274973,0.23233143389319919,0.21333799666009176,0.21997362657380004,0.22945505190131477,0.21394393113589663,0.22441758149860633,0.21662193250056735,0.20110600741110565,0.21266769766087704,0.21728231704911583,0.2188447877401097,0.22046377255379565,0.21701909071044684,0.22696369632706367,0.2192115584243862,0.20630061297719915,0.20817206427859167,0.20807940411539175,0.22062610308654648,0.2117155411977807,0.20267998593700592,0.21857379003472735,0.21959652995989765,0.1950309901629094,0.209812784186889
_mix_te,0.29593548410477694,0.24128797452023001,0.25750960761681146,0.17483604241206438,0.3051704070592947,0.29246229936177026,0.21457527317638456,0.24477572968039754,0.17547668125412968,0.17278401352589956,0.2634689628927055,0.26303886288409695,0.2080259050967551,0.23376913760338341,0.1816839042151051,0.1913859858709359,0.2555025638656802,0.20465085095604557,0.20225385324462966,0.18677900416490925,0.24288463593657403,0.20127610713780486,0.20890670908823145,0.19074194292720523,0.20199576129812638,0.20719499846021655
