,V_W,V_C,V_R,V_L,W_C,W_R,W_L,C_R,C_L,R_L,V_W_C,V_W_R,V_W_L,V_C_R,V_C_L,V_R_L,W_C_R,W_C_L,W_R_L,C_R_L,V_W_C_R,V_W_C_L,V_W_R_L,V_C_R_L,W_C_R_L,V_W_C_R_L
_int_ter,0.005176555108882483,0.0958812407121561,0.12481903156274511,-0.09530052737506281,0.06074811272805835,0.12033887572943873,0.05838674634670321,0.09365169627783407,0.04523140217185517,0.027292686574644086,0.022920984727642008,0.11482328366116541,0.006861021894248807,0.08660255291564439,-0.05371382816019662,0.12375271317734074,0.15988185012958112,0.09421379216884174,0.07312076432237058,0.04415902025463643,0.11676358505649746,0.003784648006785045,0.1393411945565184,0.08157780515408397,0.03590747391545723,0.06945822569305905
_mix_ter,0.10450798623096286,0.3604103254294694,0.03957228961020317,-0.013071892924902911,0.3046476419293981,0.13932928787187565,0.10324323860653976,0.3468529079854426,0.1931759803857797,0.006754655468465241,0.2636257097307665,0.12463955652475261,0.08397885670991183,0.15399243975044755,0.0767413432475594,-0.09237276754157421,0.2902863614757303,0.22757413709359722,0.08884731251523667,0.05988510481406593,0.19947908030706424,0.21808639508228275,0.09809135978590357,0.026849800863111194,0.2382966286975877,0.07664242508044883
_int_dec,0.13663981259763253,0.05480212995140102,-0.05686924945237369,0.025688366682394676,0.2177644733354214,0.1728725312631958,0.11455124892643807,0.194192915618693,-0.03231305060768996,0.030802483125390065,0.08278359088069079,0.14522349073261206,0.043715162843609975,0.013538051191870926,0.03092406087348084,0.03640105682375563,0.24728983987786674,0.08640588406184777,0.12079254370061102,0.06643211238764728,0.07625494524215298,0.15199029952224205,0.0073489840383142175,-0.013857967130191823,0.061854160401242184,0.06715393370642113
_mix_dec,0.14478866090997974,0.12416357345597476,-0.04557022884753546,-0.0984099592699362,0.31908384322343325,0.19416825266622523,0.18671247218608028,0.15430614591026356,0.08261801651044122,-0.07328670086793493,0.2350796613263044,0.11930010982852406,0.12431660507349822,0.07585295254590384,0.05178073970055372,-0.08821867569926134,0.2805800592307514,0.26826589153791475,0.1546096350403226,0.06145732106665811,0.19947908030706424,0.21808639508228275,0.09809135978590357,0.026849800863111194,0.2382966286975877,0.18166065141858573
_int_bw,0.13115718303722756,0.28965448581011416,0.0737501372907055,0.15084842259458844,0.3129117342680928,0.18299938847734787,0.24301898797373775,0.29407631024165787,0.16867869811446543,0.11198391959690673,0.29193560329127793,0.12058968529942043,0.2495819570634046,0.25794624543479483,0.1665619481193999,0.14924748170903074,0.30116861475611656,0.22670151656023485,0.2721164975412114,0.2232280466828811,0.32262916561300864,0.2580994571007889,0.23388312791622679,0.1950101494286668,0.2754903125072458,0.26823589728552755
_mix_bw,0.11664179739473597,0.29717961042495983,0.09339866816875156,0.06511480111498304,0.28491906767573444,0.20653579241568773,0.17617406956628906,0.37558690467460676,0.21973658806395455,0.15935210139879818,0.2672390943863015,0.1521539424378902,0.14848520125934378,0.31705641075833774,0.23673153049767892,0.09876357571214012,0.3408570859258268,0.27225150455048114,0.2118248627403302,0.2521283243194387,0.2858817630878275,0.2877541071631625,0.1664172729059983,0.23861022650833627,0.3172479581635562,0.284782999047564
_int_te,-0.012935847258838139,-0.03233308380588638,0.011204247305217852,-0.11235107682577113,0.040960457158857023,0.08064021479522863,0.002369131437615385,0.10471326631873558,0.1351866131698448,0.07951648515390318,-0.06350125107874767,0.04936127137980041,0.08701723569484629,0.04895114049480357,-0.14859402508785638,-0.03155781826570903,0.039972951110464436,0.016654741905254303,0.1431390395878458,0.14021507651929543,-0.005731465968831134,0.003395267010132326,0.14432015612138424,-0.03462799549812582,0.054996402662099424,0.17707923460646025
_mix_te,0.07451505021104309,0.07888924627601133,0.1449224860907168,-0.004845610551271988,0.03444801952943897,0.09084493847715754,-0.025324593132835492,0.0836792276230526,-0.016985587169712928,0.08193900169248526,0.09837115960098786,0.09995401931537007,0.01793571683937915,0.09799352135407959,0.03953072918605534,0.0896147895547286,0.09673087302226104,0.03122361249283433,0.04235949016782638,0.06497853644878049,0.06574442377376828,0.008733740406082467,0.03496408148587819,0.03131035608089927,0.0061470687358699235,0.02914066620860387
