,V_W,V_C,V_R,V_L,W_C,W_R,W_L,C_R,C_L,R_L,V_W_C,V_W_R,V_W_L,V_C_R,V_C_L,V_R_L,W_C_R,W_C_L,W_R_L,C_R_L,V_W_C_R,V_W_C_L,V_W_R_L,V_C_R_L,W_C_R_L,V_W_C_R_L
ter,0.95,0.982,0.53,0.967,0.982,0.657,0.738,0.981,0.982,0.83,0.982,0.607,0.819,0.83,0.936,0.236,0.705,0.669,0.363,0.531,0.673,0.936,0.363,0.436,0.869,0.223
dec,0.912,0.905,0.912,0.725,0.912,0.905,0.877,0.486,0.912,0.725,0.912,0.744,0.912,0.871,0.832,0.649,0.486,0.912,0.768,0.725,0.912,0.706,0.912,0.905,0.905,0.877
bw,0.751,0.416,0.98,0.823,0.617,0.992,0.617,0.986,1.0,1.0,0.307,0.956,0.223,0.583,0.986,0.956,0.807,0.992,0.74,0.996,0.169,0.804,0.349,0.956,0.992,0.629
te,0.942,0.983,0.983,0.993,0.81,0.814,0.942,0.849,0.814,0.983,0.983,0.94,0.907,0.944,0.993,0.993,0.926,0.956,0.814,0.942,0.943,0.944,0.822,0.983,0.874,0.71
