date,rf
1962-01,0.002082430119917822
1962-02,0.0020410207511774026
1962-03,0.0022063964251870516
1962-04,0.002222638404410171
1962-05,0.0020782392162375096
1962-06,0.0024045867095430218
1962-07,0.0021812357006478766
1962-08,0.0022063614106730967
1962-09,0.002235274917917973
1962-10,0.0020451616136150097
1962-11,0.0022229219305360814
1962-12,0.002429052059003567
1963-01,0.0024087856747461167
1963-02,0.002338635213084528
1963-03,0.0023468126985439763
1963-04,0.0023506589440096537
1963-05,0.0024335825744250528
1963-06,0.002454098040699293
1963-07,0.0025119958275434673
1963-08,0.0026806291487670997
1963-09,0.002815945716139412
1963-10,0.002697209631986164
1963-11,0.00269295720687035
1963-12,0.0028568626988598744
1964-01,0.0028286240594925793
1964-02,0.0028984634096791417
1964-03,0.0028937847839325403
1964-04,0.002754790931562612
1964-05,0.00268077666111588
1964-06,0.002799355721944119
1964-07,0.002676167590715206
1964-08,0.0026801333156381
1964-09,0.002889840322717774
1964-10,0.0028118335713365195
1964-11,0.0029308890858108505
1964-12,0.0028117954067941042
1965-01,0.003180715361398745
1965-02,0.0031525239491232426
1965-03,0.00310290376413791
1965-04,0.003160395221972756
1965-05,0.0030583146454614685
1965-06,0.003098994118549969
1965-07,0.003086866116934539
1965-08,0.003098819424192989
1965-09,0.0032626877228498774
1965-10,0.0031523902521959357
1965-11,0.0031111161765635664
1965-12,0.0034873782603650483
1966-01,0.0036993089148953384
1966-02,0.003642287110577902
1966-03,0.0036094893002405204
1966-04,0.0037565745784244875
1966-05,0.003642091766462352
1966-06,0.0036911892346029873
1966-07,0.0037119860408338923
1966-08,0.003853716706020638
1966-09,0.004198941947674895
1966-10,0.0038943548093881564
1966-11,0.003487345089214555
1966-12,0.0036507029983565698
1967-01,0.003711329642399175
1967-02,0.0036624947168009125
1967-03,0.003323820257441046
1967-04,0.0028326211729827744
1967-05,0.002667818267181765
1967-06,0.0030374958619092673
1967-07,0.0031194614296132794
1967-08,0.0031602586812731204
1967-09,0.003397751826389017
1967-10,0.003393277364968972
1967-11,0.0034261542025761926
1967-12,0.003548988464029179
1968-01,0.003920248935917803
1968-02,0.0038132844093257123
1968-03,0.003955822033267387
1968-04,0.00446199404173897
1968-05,0.004380844665773598
1968-06,0.004300841853282833
1968-07,0.004279966221177878
1968-08,0.004024566309696276
1968-09,0.004202997996843871
1968-10,0.0044010597642194504
1968-11,0.003943619340770699
1968-12,0.004945404532544551
1969-01,0.004866487537674713
1969-02,0.00458316272087278
1969-03,0.00436151963534237
1969-04,0.004965902730331262
1969-05,0.004744882715855381
1969-06,0.005247051072799991
1969-07,0.005587323493493779
1969-08,0.005387758704761714
1969-09,0.005610796150736341
1969-10,0.005406820683898417
1969-11,0.005219864134857755
1969-12,0.005487376566173374
1970-01,0.006222763968917189
1970-02,0.005106976885855374
1970-03,0.005194427484373376
1970-04,0.005271069226432168
1970-05,0.00511101184722218
1970-06,0.004812626808260445
1970-07,0.004784779453749666
1970-08,0.004953468137445016
1970-09,0.0047243314237321865
1970-10,0.004292091231092421
1970-11,0.0036341675775437565
1970-12,0.003626042659581552
1971-01,0.003323820257441046
1971-02,0.0026517161437831227
1971-03,0.0027952573849043816
1971-04,0.0030129079591045826
1971-05,0.003168886250699776
1971-06,0.0040894942731874995
1971-07,0.004122212543575365
1971-08,0.003601356595869687
1971-09,0.0036993089148953384
1971-10,0.003266964761619473
1971-11,0.0031356707779008897
1971-12,0.002750198093424139
1972-01,0.0025691778767360507
1972-02,0.0025854932536513164
1972-03,0.0028569911850369056
1972-04,0.002668186267279715
1972-05,0.0027911572379741845
1972-06,0.002971925911355866
1972-07,0.0028816218905274305
1972-08,0.0035198367655284724
1972-09,0.003618065719582786
1972-10,0.0037072699265003894
1972-11,0.004008345480905895
1972-12,0.0039682545487012
1973-01,0.004528328321560693
1973-02,0.004534690141950959
1973-03,0.004768680039255679
1973-04,0.0048572816551826214
1973-05,0.005282647443987987
1973-06,0.005994756782921273
1973-07,0.006675864590017566
1973-08,0.006884322283069011
1973-09,0.00591627184556498
1973-10,0.005597889474232787
1973-11,0.006003920563800946
1973-12,0.005938420654799659
1974-01,0.006084164823052518
1974-02,0.005948726241687741
1974-03,0.006821108509953877
1974-04,0.007031024624931881
1974-05,0.006304861258596306
1974-06,0.006185713925793035
1974-07,0.0062120837595331935
1974-08,0.007372823421913477
1974-09,0.005002130575868957
1974-10,0.0053971920006090635
1974-11,0.006043748045921449
1974-12,0.005290679361573014
1975-01,0.004503425820887141
1975-02,0.003879099886132664
1975-03,0.004292128840339693
1975-04,0.004244419697552404
1975-05,0.003959601340451702
1975-06,0.004591237144939031
1975-07,0.004891050795659657
1975-08,0.0048423450608654495
1975-09,0.005098122359189716
1975-10,0.004325429608912801
1975-11,0.0042204000922652085
1975-12,0.004211109607264563
1976-01,0.003691855462375271
1976-02,0.0037977050366333476
1976-03,0.0038791041917063396
1976-04,0.00382977566371534
1976-05,0.0041222444813047154
1976-06,0.0043098321314800625
1976-07,0.004138997859659321
1976-08,0.0038862450812919835
1976-09,0.0041392853978310384
1976-10,0.0038790912749853135
1976-11,0.0035524291349704473
1976-12,0.003479800531016819
1977-01,0.003715650334930487
1977-02,0.003617864503484114
1977-03,0.003707951936805065
1977-04,0.0035854592093211846
1977-05,0.003942615033473151
1977-06,0.00403376702298841
1977-07,0.0043496943561429635
1977-08,0.004374610787385436
1977-09,0.004721414816530212
1977-10,0.004728408600339407
1977-11,0.004625295459578016
1977-12,0.00467302575293127
1978-01,0.0048649600352208555
1978-02,0.004937378893129285
